City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1386,Morant Bay,JM,80.6,thunderstorm,17.88,-76.41,Whispering Bamboo Cove Resort
1393,Labuhan,ID,86.85,broken clouds,-6.88,112.21,bador sepret
1396,Moree,AU,78.8,clear sky,-29.47,149.85,Molika Springs Motel
1401,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
1405,Georgetown,MY,82.4,moderate rain,5.41,100.34,Cititel Penang
1406,Bengkulu,ID,80.1,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
1413,Hobart,AU,75.0,clear sky,-42.88,147.33,St Ives Hobart Accommodation Tasmania
1420,Mecca,SA,75.6,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
1428,Lumphat,KH,79.93,overcast clouds,13.49,106.98,Lumphat Homestay
1430,Mangrol,IN,75.92,clear sky,21.12,70.12,Hotel The Royal Honours
1444,Sao Filipe,CV,79.56,clear sky,14.9,-24.5,Tortuga B&B
1449,Kpandae,GH,78.71,scattered clouds,8.47,-0.01,S. Amaski Guest House
1453,Qui Nhon,VN,77.05,light rain,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
1456,Victoria,HK,77.0,broken clouds,22.29,114.16,Mini Hotel Central
1457,Meulaboh,ID,80.94,heavy intensity rain,4.14,96.13,Kost Pria
1462,Vanimo,PG,87.21,broken clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
1464,Avarua,CK,80.6,broken clouds,-21.21,-159.78,Paradise Inn
1465,Bouloupari,NC,78.8,few clouds,-21.87,166.05,Oua-Ya Lodge
1470,Alvorada,BR,79.95,overcast clouds,-12.48,-49.12,Cristal Plaza Hotel
1472,Isangel,VU,80.6,broken clouds,-19.55,169.27,Volcano Sea View Tree House
1473,Salalah,OM,75.2,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
1474,Dicabisagan,PH,81.97,light rain,17.08,122.42,Nancy Montanes Bernardo
1478,Hithadhoo,MV,83.98,light rain,-0.6,73.08,Scoop Guest House
1482,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
1483,Charters Towers,AU,86.34,broken clouds,-20.1,146.27,Cattleman's Rest Motor Inn
1485,Acapulco,MX,82.4,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
1494,Honiara,SB,87.8,few clouds,-9.43,159.95,Heritage Park Hotel
1495,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
1497,Porto Novo,BJ,82.4,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
1500,Ambulu,ID,85.08,overcast clouds,-8.35,113.61,Hotel Ambulu Jember
1505,Kismayo,SO,78.82,broken clouds,-0.36,42.55,Agan-Hotel
1512,Kavieng,PG,83.86,light rain,-2.57,150.8,Nusa Island Retreat
1517,Nishihara,JP,77.0,broken clouds,26.18,127.76,Minshuku Agaihama
1520,Kavaratti,IN,83.91,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
1526,Broken Hill,AU,86.0,broken clouds,-31.95,141.43,Daydream Motel & Cottages
1527,Atuona,PF,77.68,broken clouds,-9.8,-139.03,Villa Enata
