City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pisco,PE,2020-11-08 22:08:04,-13.7,-76.22,68.0,72,0,25.28,
1,Katobu,ID,2020-11-08 22:08:05,-4.94,122.53,76.41,83,92,1.07,
2,Constitucion,CL,2020-11-08 22:03:25,-35.33,-72.42,62.6,58,46,12.41,
3,Ponta Do Sol,PT,2020-11-08 22:08:05,32.67,-17.1,66.2,59,20,10.29,
4,Labuhan,ID,2020-11-08 22:08:05,-6.88,112.21,78.66,78,94,10.36,
5,Puerto Ayora,EC,2020-11-08 22:08:05,-0.74,-90.35,77.0,69,20,14.99,
6,Saskylakh,RU,2020-11-08 22:08:05,71.92,114.08,-9.2,86,2,13.8,
7,Moree,AU,2020-11-08 22:08:06,-29.47,149.85,66.2,48,9,11.41,
8,Kaitangata,NZ,2020-11-08 22:08:06,-46.28,169.85,53.01,81,93,8.01,
9,Penzance,GB,2020-11-08 22:08:06,50.12,-5.54,57.2,93,76,20.8,
10,Tuktoyaktuk,CA,2020-11-08 22:08:06,69.45,-133.04,10.4,92,75,4.7,
11,Hermanus,ZA,2020-11-08 22:08:06,-34.42,19.23,52.0,90,31,1.01,
12,Vaini,TO,2020-11-08 22:08:06,-21.2,-175.2,77.0,78,20,6.93,
13,Jamestown,US,2020-11-08 22:06:32,42.1,-79.24,69.8,32,1,3.36,
14,Durango,MX,2020-11-08 22:05:15,24.83,-104.83,76.82,22,0,7.27,
15,Pahrump,US,2020-11-08 22:07:49,36.21,-115.98,55.99,35,100,11.01,
16,Georgetown,MY,2020-11-08 22:04:08,5.41,100.34,77.0,94,40,2.24,
17,Bengkulu,ID,2020-11-08 22:08:07,-3.8,102.27,75.6,91,100,1.57,
18,Jiwani,PK,2020-11-08 22:08:07,25.05,61.74,74.88,78,0,6.67,
19,East London,ZA,2020-11-08 22:03:43,-33.02,27.91,67.12,76,99,6.91,
20,Grindavik,IS,2020-11-08 22:08:07,63.84,-22.43,41.0,86,75,26.4,
21,Provideniya,RU,2020-11-08 22:08:08,64.38,-173.3,32.0,97,90,8.95,
22,Najran,SA,2020-11-08 22:08:08,17.49,44.13,69.8,28,0,1.28,
23,Gravdal,NO,2020-11-08 22:08:08,68.12,13.5,42.8,75,75,23.04,
24,Hobart,AU,2020-11-08 22:03:52,-42.88,147.33,59.0,62,5,8.05,
25,Tomatlan,MX,2020-11-08 22:08:08,19.93,-105.25,85.59,59,74,9.84,
26,Quatre Cocos,MU,2020-11-08 22:08:09,-20.21,57.76,72.0,94,75,3.36,
27,Ushuaia,AR,2020-11-08 22:08:09,-54.8,-68.3,46.4,61,75,39.15,
28,Tabursuq,TN,2020-11-08 22:08:09,36.46,9.25,62.6,45,0,1.12,
29,Palmer,US,2020-11-08 22:03:51,42.16,-72.33,61.0,61,0,1.83,
30,Pevek,RU,2020-11-08 22:08:09,69.7,170.31,17.04,94,100,3.36,
31,Mecca,SA,2020-11-08 22:08:10,21.43,39.83,77.77,70,1,2.84,
32,Busselton,AU,2020-11-08 22:08:10,-33.65,115.33,60.01,80,96,20.76,
33,Yellowknife,CA,2020-11-08 22:06:03,62.46,-114.35,26.6,73,20,9.17,
34,Rikitea,PF,2020-11-08 22:06:57,-23.12,-134.97,73.13,76,87,16.93,
35,Punta Arenas,CL,2020-11-08 22:04:31,-53.15,-70.92,50.0,57,0,28.86,
36,Mar Del Plata,AR,2020-11-08 22:08:10,-38.0,-57.56,61.0,93,0,10.29,
37,Lowestoft,GB,2020-11-08 22:08:10,52.48,1.75,55.99,99,76,1.99,
38,Bredasdorp,ZA,2020-11-08 22:07:08,-34.53,20.04,55.4,76,4,10.29,
39,Lumphat,KH,2020-11-08 22:08:11,13.49,106.98,67.57,91,83,1.32,
40,Los Llanos De Aridane,ES,2020-11-08 22:08:11,28.66,-17.92,68.0,68,0,8.05,
41,Mangrol,IN,2020-11-08 22:04:32,21.12,70.12,78.1,55,0,3.6,
42,Caravelas,BR,2020-11-08 22:08:11,-17.71,-39.25,74.89,85,100,6.6,
43,Komsomolskiy,UZ,2020-11-08 22:03:46,40.43,71.72,53.6,50,90,11.41,
44,Huilong,CN,2020-11-08 22:08:12,31.81,121.66,59.0,72,0,9.82,
45,Amapa,BR,2020-11-08 22:08:12,1.0,-52.0,80.73,71,69,5.17,
46,Mataura,NZ,2020-11-08 22:08:12,-46.19,168.86,54.0,76,98,8.01,
47,Nikolskoye,RU,2020-11-08 22:07:01,59.7,30.79,37.0,86,20,6.71,
48,Khatanga,RU,2020-11-08 22:08:12,71.97,102.5,9.75,91,100,18.45,
49,Saint George,US,2020-11-08 22:03:48,37.1,-113.58,46.4,52,75,19.46,
50,Huntsville,US,2020-11-08 22:07:21,34.73,-86.59,77.0,57,90,8.05,
51,Asau,RO,2020-11-08 22:08:13,46.43,26.4,43.0,100,0,3.36,
52,Bambous Virieux,MU,2020-11-08 22:07:29,-20.34,57.76,72.0,94,75,3.36,
53,Albany,US,2020-11-08 22:08:13,42.6,-73.97,63.0,56,0,1.66,
54,Aviles,ES,2020-11-08 22:04:28,43.55,-5.92,61.0,87,20,5.35,
55,Sao Filipe,CV,2020-11-08 22:08:13,14.9,-24.5,80.06,74,10,10.47,
56,Mount Isa,AU,2020-11-08 22:04:33,-20.73,139.5,80.6,13,0,5.82,
57,Mongomo,GQ,2020-11-08 22:08:14,1.63,11.31,67.95,98,89,2.39,
58,Lebu,CL,2020-11-08 22:07:19,-37.62,-73.65,54.79,81,0,19.19,
59,Kimberley,ZA,2020-11-08 22:08:14,-28.73,24.76,69.8,43,100,6.93,
60,Kpandae,GH,2020-11-08 22:08:14,8.47,-0.01,82.51,53,56,3.0,
61,Kurikka,FI,2020-11-08 22:08:14,62.62,22.42,33.01,92,20,3.36,
62,Nouadhibou,MR,2020-11-08 22:08:15,20.93,-17.03,71.6,64,0,14.99,
63,Caxias,PT,2020-11-08 22:08:15,38.7,-9.28,61.0,100,20,4.7,
64,Qui Nhon,VN,2020-11-08 22:08:15,13.77,109.23,76.66,86,100,22.26,
65,Trelew,AR,2020-11-08 22:05:04,-43.25,-65.31,76.82,38,97,23.58,
66,Njombe,TZ,2020-11-08 22:08:15,-9.33,34.77,60.42,92,100,9.42,
67,Victoria,HK,2020-11-08 22:08:03,22.29,114.16,73.99,44,77,8.63,
68,Meulaboh,ID,2020-11-08 22:08:16,4.14,96.13,75.94,88,99,3.83,
69,Cape Town,ZA,2020-11-08 22:07:43,-33.93,18.42,57.99,62,75,4.7,
70,Rio Gallegos,AR,2020-11-08 22:07:23,-51.62,-69.22,62.6,39,40,28.86,
71,Anchorage,US,2020-11-08 22:07:20,61.22,-149.9,32.0,92,90,9.71,
