City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Wahiawa,US,2020-11-04 02:39:29,21.5,-158.02,86.0,74,20,12.75
1,Nome,US,2020-11-04 02:39:29,64.5,-165.41,26.6,73,90,18.34
2,Cayenne,GF,2020-11-04 02:39:29,4.93,-52.33,80.6,88,75,3.36
3,Andenes,NO,2020-11-04 02:39:29,69.31,16.12,42.8,81,97,25.28
4,Dauphin,CA,2020-11-04 02:36:27,51.15,-100.05,42.8,74,1,9.17
5,Kavaratti,IN,2020-11-04 02:39:30,10.57,72.64,82.36,72,0,4.56
6,Raudeberg,NO,2020-11-04 02:39:30,61.99,5.14,44.01,87,100,10.29
7,Pevek,RU,2020-11-04 02:39:30,69.7,170.31,-1.44,90,29,9.91
8,Asau,RO,2020-11-04 02:39:30,46.43,26.4,45.0,97,95,1.81
9,Finschhafen,PG,2020-11-04 02:39:30,-6.6,147.87,84.45,68,100,8.5
10,Bethel,US,2020-11-04 02:38:57,41.37,-73.41,35.6,74,90,2.17
11,Busselton,AU,2020-11-04 02:39:31,-33.65,115.33,64.99,62,57,5.01
12,Lithakia,GR,2020-11-04 02:37:50,37.72,20.83,55.4,93,100,3.36
13,Campbell River,CA,2020-11-04 02:39:31,50.02,-125.24,50.0,100,90,13.87
14,Hobart,AU,2020-11-04 02:36:36,-42.88,147.33,69.8,43,75,17.22
15,Hami,CN,2020-11-04 02:39:31,42.8,93.45,48.45,44,0,7.23
16,Kahului,US,2020-11-04 02:39:31,20.89,-156.47,87.8,58,40,17.22
17,Sinnamary,GF,2020-11-04 02:39:31,5.38,-52.95,79.29,88,96,9.69
18,Deputatskiy,RU,2020-11-04 02:39:32,69.3,139.9,-13.09,87,7,1.77
19,Punta Arenas,CL,2020-11-04 02:39:32,-53.15,-70.92,44.6,93,90,11.41
20,Ushuaia,AR,2020-11-04 02:39:32,-54.8,-68.3,51.8,50,75,13.87
21,Saint-Ambroise,CA,2020-11-04 02:39:32,48.55,-71.33,24.8,62,0,8.05
22,Yellowknife,CA,2020-11-04 02:39:32,62.46,-114.35,3.2,84,90,5.82
23,Tasiilaq,GL,2020-11-04 02:39:32,65.61,-37.64,33.8,86,100,38.03
24,Kayes,ML,2020-11-04 02:39:33,14.0,-11.0,79.2,23,100,2.13
25,Cape Town,ZA,2020-11-04 02:34:55,-33.93,18.42,66.0,82,0,11.41
26,Bennettsville,US,2020-11-04 02:39:33,34.62,-79.68,50.0,75,1,2.35
27,Port Elizabeth,ZA,2020-11-04 02:39:33,-33.92,25.57,66.2,88,75,5.82
28,Sechura,PE,2020-11-04 02:39:33,-5.56,-80.82,63.99,78,14,9.46
29,Vila Franca Do Campo,PT,2020-11-04 02:39:33,37.72,-25.43,59.0,77,75,4.7
30,Saskylakh,RU,2020-11-04 02:39:33,71.92,114.08,-3.84,91,99,2.82
31,Batemans Bay,AU,2020-11-04 02:34:38,-35.72,150.18,80.01,52,92,5.99
32,Parchim,DE,2020-11-04 02:39:34,53.43,11.85,46.99,90,31,8.99
33,Rikitea,PF,2020-11-04 02:39:34,-23.12,-134.97,72.68,80,23,18.79
34,Hilo,US,2020-11-04 02:39:34,19.73,-155.09,84.2,66,40,9.17
35,Nhulunbuy,AU,2020-11-04 02:39:34,-12.23,136.77,91.4,55,20,14.99
36,Hermanus,ZA,2020-11-04 02:39:34,-34.42,19.23,63.0,93,93,1.01
37,Hambantota,LK,2020-11-04 02:39:34,6.12,81.12,80.6,94,40,1.12
38,Samarai,PG,2020-11-04 02:35:07,-10.62,150.67,81.54,81,75,11.99
39,Kushmurun,KZ,2020-11-04 02:39:35,52.45,64.63,30.18,92,2,8.52
40,Butaritari,KI,2020-11-04 02:39:35,3.07,172.79,81.7,72,88,15.77
41,Narsaq,GL,2020-11-04 02:39:35,60.92,-46.05,37.4,93,100,16.11
42,Cabedelo,BR,2020-11-04 02:39:35,-6.98,-34.83,78.8,83,20,8.05
43,Lompoc,US,2020-11-04 02:34:58,34.64,-120.46,59.0,93,75,5.82
44,Georgetown,MY,2020-11-04 02:39:11,5.41,100.34,80.6,78,20,3.36
45,Pisco,PE,2020-11-04 02:39:35,-13.7,-76.22,63.0,88,0,9.17
46,Victoria,HK,2020-11-04 02:36:10,22.29,114.16,75.0,64,37,8.99
47,Saint-Philippe,RE,2020-11-04 02:39:36,-21.36,55.77,68.0,60,75,8.05
48,Taylorville,US,2020-11-04 02:39:25,39.55,-89.29,57.2,54,1,16.11
49,Kodiak,US,2020-11-04 02:39:36,57.79,-152.41,28.4,39,1,11.41
50,Puerto Ayora,EC,2020-11-04 02:39:36,-0.74,-90.35,69.01,94,88,4.0
51,Kapaa,US,2020-11-04 02:39:36,22.08,-159.32,80.6,83,40,12.75
52,Port Lincoln,AU,2020-11-04 02:39:36,-34.73,135.87,58.77,63,100,17.98
53,Cherskiy,RU,2020-11-04 02:39:37,68.75,161.3,-5.13,85,0,4.03
54,Praia,CV,2020-11-04 02:35:24,14.92,-23.51,75.2,83,0,8.05
55,Husavik,IS,2020-11-04 02:39:37,66.04,-17.34,39.2,69,0,14.99
56,Vestmanna,FO,2020-11-04 02:39:37,62.16,-7.17,44.6,65,87,32.21
57,Albany,US,2020-11-04 02:39:37,42.6,-73.97,30.99,81,0,1.86
58,Tromso,NO,2020-11-04 02:39:37,69.65,18.96,44.6,72,20,29.97
59,Dingle,PH,2020-11-04 02:34:48,11.0,122.67,84.16,77,100,4.09
60,Barrow,US,2020-11-04 02:39:38,71.29,-156.79,12.2,85,90,9.17
61,Pasighat,IN,2020-11-04 02:39:38,28.07,95.33,72.81,83,62,1.5
62,San Andres,CO,2020-11-04 02:38:06,12.58,-81.7,77.0,94,75,9.17
63,Brigantine,US,2020-11-04 02:39:38,39.41,-74.36,48.99,80,1,5.57
64,High Level,CA,2020-11-04 02:39:38,58.52,-117.14,15.8,92,90,10.29
65,Ambon,ID,2020-11-04 02:39:38,-3.7,128.18,79.84,84,100,11.77
66,Hithadhoo,MV,2020-11-04 02:39:38,-0.6,73.08,83.39,71,100,7.49
67,Envira,BR,2020-11-04 02:39:38,-7.3,-70.22,76.75,73,2,0.27
68,Jamestown,US,2020-11-04 02:35:21,42.1,-79.24,44.01,65,1,6.93
69,Killybegs,IE,2020-11-04 02:35:26,54.63,-8.45,47.55,72,64,13.0
70,Torbay,CA,2020-11-04 02:39:39,47.67,-52.73,33.8,76,20,6.42
71,Tommot,RU,2020-11-04 02:39:39,58.96,126.29,12.78,93,100,8.46
72,Madaoua,NE,2020-11-04 02:39:39,14.07,5.96,79.74,18,98,10.98
73,Tiksi,RU,2020-11-04 02:39:14,71.69,128.87,8.28,95,100,5.77
74,Bambous Virieux,MU,2020-11-04 02:39:39,-20.34,57.76,69.8,73,40,9.17
75,Padang,ID,2020-11-04 02:35:05,-0.95,100.35,78.66,74,100,4.61
76,Mataura,NZ,2020-11-04 02:39:40,-46.19,168.86,72.0,55,25,11.01
77,Lazaro Cardenas,MX,2020-11-04 02:39:40,17.96,-102.2,77.79,67,0,4.7
78,Provideniya,RU,2020-11-04 02:34:43,64.38,-173.3,17.06,86,3,4.23
79,San Patricio,US,2020-11-04 02:34:48,28.02,-97.52,66.99,77,1,4.7
80,Lac Du Bonnet,CA,2020-11-04 02:39:40,50.25,-96.06,42.01,80,0,5.82
81,Huanren,CN,2020-11-04 02:39:40,41.26,125.37,38.32,54,0,4.94
82,Bluff,NZ,2020-11-04 02:39:09,-46.6,168.33,72.0,55,0,11.01
83,Lensk,RU,2020-11-04 02:39:41,60.73,114.93,22.87,95,99,8.55
84,Sitka,US,2020-11-04 02:39:41,57.05,-135.33,37.4,86,90,12.75
85,New Norfolk,AU,2020-11-04 02:39:41,-42.78,147.06,69.8,43,75,17.22
86,Hay River,CA,2020-11-04 02:39:41,60.82,-115.8,15.8,78,99,6.93
87,Kavieng,PG,2020-11-04 02:34:42,-2.57,150.8,85.87,69,100,4.83
88,Codrington,AU,2020-11-04 02:39:41,-38.27,141.97,56.23,77,99,13.67
89,Ilulissat,GL,2020-11-04 02:35:07,69.22,-51.1,35.6,93,100,27.51
90,Port Alfred,ZA,2020-11-04 02:39:42,-33.59,26.89,68.4,89,96,6.51
91,Vaini,TO,2020-11-04 02:39:42,-21.2,-175.2,80.6,74,20,13.87
92,Thompson,CA,2020-11-04 02:39:23,55.74,-97.86,23.0,100,90,3.36
93,Hofn,IS,2020-11-04 02:39:42,64.25,-15.21,43.32,62,100,8.43
94,Kenora,CA,2020-11-04 02:39:42,49.82,-94.43,46.4,61,20,3.36
95,Ikwiriri,TZ,2020-11-04 02:39:42,-7.96,38.97,71.71,90,54,1.81
96,Talnakh,RU,2020-11-04 02:39:16,69.49,88.4,-11.2,83,40,2.24
97,Lichtenburg,ZA,2020-11-04 02:39:42,-26.15,26.16,61.5,62,100,7.4
98,Malabo,GQ,2020-11-04 02:39:43,3.75,8.78,75.2,100,40,1.12
99,Paamiut,GL,2020-11-04 02:39:43,61.99,-49.67,33.22,91,100,26.15
100,Atuona,PF,2020-11-04 02:39:43,-9.8,-139.03,78.35,75,49,21.05
101,Toba,JP,2020-11-04 02:39:43,34.48,136.85,57.0,62,1,11.01
102,Bealanana,MG,2020-11-04 02:39:43,-14.55,48.73,59.65,81,71,3.42
103,Kangaatsiaq,GL,2020-11-04 02:39:43,68.31,-53.46,34.79,87,100,24.9
104,Pringsewu,ID,2020-11-04 02:39:43,-5.36,104.97,85.98,64,100,3.87
105,Isangel,VU,2020-11-04 02:39:26,-19.55,169.27,76.87,78,100,9.17
106,Portland,US,2020-11-04 02:36:05,45.52,-122.68,60.01,93,90,7.52
107,Bredasdorp,ZA,2020-11-04 02:39:44,-34.53,20.04,66.2,93,62,3.36
108,Zurrieq,MT,2020-11-04 02:37:07,35.83,14.47,64.99,100,20,3.36
109,Fereydun Kenar,IR,2020-11-04 02:39:44,36.69,52.52,66.2,85,93,8.5
110,Lorengau,PG,2020-11-04 02:34:48,-2.02,147.27,85.01,74,90,5.28
111,Lulea,SE,2020-11-04 02:37:22,65.58,22.15,37.4,86,0,4.7
112,Cabo San Lucas,MX,2020-11-04 02:35:22,22.89,-109.91,78.01,83,5,10.29
113,Vardo,NO,2020-11-04 02:39:45,70.37,31.11,42.44,69,3,21.5
114,Sept-Iles,CA,2020-11-04 02:39:45,50.2,-66.38,21.2,62,0,8.05
115,Jalu,LY,2020-11-04 02:39:45,29.03,21.55,59.49,85,0,6.62
116,Esperance,AU,2020-11-04 02:39:45,-33.87,121.9,62.6,63,75,13.87
117,Katsuura,JP,2020-11-04 02:39:45,35.13,140.3,63.0,51,20,6.93
118,Basco,PH,2020-11-04 02:39:45,20.45,121.97,77.65,72,100,30.94
119,Prieska,ZA,2020-11-04 02:39:45,-29.66,22.75,71.01,53,86,14.65
120,Hammerfest,NO,2020-11-04 02:39:46,70.66,23.68,41.0,65,0,19.46
121,Nanakuli,US,2020-11-04 02:39:46,21.39,-158.15,86.0,62,20,6.93
122,Vilhena,BR,2020-11-04 02:39:46,-12.74,-60.15,77.27,53,90,2.46
123,Akureyri,IS,2020-11-04 02:39:46,65.68,-18.09,39.2,69,0,14.99
124,Huancavelica,PE,2020-11-04 02:39:46,-12.77,-74.98,41.49,87,100,5.5
125,Roma,US,2020-11-04 02:39:46,43.21,-75.46,33.8,69,75,6.93
126,Qaanaaq,GL,2020-11-04 02:39:11,77.48,-69.36,-0.58,78,68,1.39
127,Gigmoto,PH,2020-11-04 02:39:47,13.78,124.39,78.87,86,100,6.55
128,Chesterfield,US,2020-11-04 02:39:28,37.38,-77.6,46.0,65,0,3.02
129,Chuy,UY,2020-11-04 02:39:47,-33.7,-53.46,54.73,82,0,7.74
130,Vestmannaeyjar,IS,2020-11-04 02:39:47,63.44,-20.27,45.41,88,100,15.86
131,Bagdarin,RU,2020-11-04 02:39:48,54.43,113.6,21.43,85,43,1.34
132,Kloulklubed,PW,2020-11-04 02:39:48,7.04,134.26,86.0,79,90,6.93
133,Ulladulla,AU,2020-11-04 02:39:48,-35.35,150.47,80.6,47,0,11.41
134,Zhigansk,RU,2020-11-04 02:39:48,66.77,123.37,0.12,89,31,5.59
135,Sao Filipe,CV,2020-11-04 02:39:48,14.9,-24.5,77.58,75,100,4.56
136,Souillac,MU,2020-11-04 02:39:48,-20.52,57.52,69.8,73,40,9.17
137,La Ronge,CA,2020-11-04 02:39:48,55.1,-105.28,41.0,75,100,2.24
138,Saldanha,ZA,2020-11-04 02:39:49,-33.01,17.94,60.8,93,49,6.04
139,Arraial Do Cabo,BR,2020-11-04 02:39:49,-22.97,-42.03,68.52,83,100,20.76
140,Havre-Saint-Pierre,CA,2020-11-04 02:39:49,50.23,-63.6,17.6,78,20,9.17
141,Salinas,US,2020-11-04 02:36:25,36.68,-121.66,57.2,82,1,6.93
142,Senlis,FR,2020-11-04 02:39:49,49.25,2.67,37.99,93,0,2.24
143,San Matias,BO,2020-11-04 02:39:49,-16.37,-58.4,79.5,38,0,6.71
144,Auki,SB,2020-11-04 02:39:50,-8.77,160.7,86.99,62,100,2.53
145,Temeni,GR,2020-11-04 02:39:50,38.23,22.12,46.0,95,69,2.46
146,Najran,SA,2020-11-04 02:39:50,17.49,44.13,53.6,30,0,2.06
147,Kaitangata,NZ,2020-11-04 02:39:50,-46.28,169.85,63.0,77,0,7.0
148,Bathsheba,BB,2020-11-04 02:39:50,13.22,-59.52,80.6,74,40,19.46
149,Piraquara,BR,2020-11-04 02:39:50,-25.44,-49.06,55.4,93,40,8.05
150,Wilhelmsburg,AT,2020-11-04 02:39:50,48.11,15.61,52.0,89,100,18.99
